Model,k,mean_f1,std_f1,rank
LinearSVM,22,0.8789660204294352,0.06976038843295873,1
LinearSVM,18,0.8691460531626592,0.06475368768144286,2
LinearSVM,5,0.8629403794037941,0.06297891037951844,3
LinearSVM,8,0.8629403794037941,0.06297891037951844,3
LinearSVM,10,0.8629403794037941,0.06297891037951844,3
LinearSVM,12,0.8629403794037941,0.06297891037951844,3
LinearSVM,15,0.8629403794037941,0.06297891037951844,3
LogisticRegression,5,0.8819807992566061,0.03305628997700419,1
LogisticRegression,12,0.8735241396371558,0.027878783127192688,2
LogisticRegression,18,0.8701664532650448,0.04971420598154057,3
LogisticRegression,22,0.8701664532650448,0.04971420598154057,3
LogisticRegression,15,0.8700431269789277,0.03265858295699898,5
LogisticRegression,8,0.869088669950739,0.03148778208994159,6
LogisticRegression,10,0.8666480652505327,0.037356181845916804,7
RandomForest,8,0.8682025559363415,0.04309733042991157,1
RandomForest,22,0.8645901523950306,0.048614961385505515,2
RandomForest,12,0.8605951461528333,0.042965983595753425,3
RandomForest,15,0.8605951461528333,0.042965983595753425,3
RandomForest,18,0.8557773201967959,0.04684392485448325,5
RandomForest,10,0.8536181624820826,0.05053523228552743,6
RandomForest,5,0.8495323606434718,0.045096932216286696,7
XGBoost,22,0.8783634665987607,0.042069284456403316,1
XGBoost,18,0.8702826585179526,0.03181228892318387,2
XGBoost,12,0.8603896103896105,0.03466583848062111,3
XGBoost,15,0.8603896103896105,0.03466583848062111,3
XGBoost,8,0.8584850318062659,0.03849865213379197,5
XGBoost,10,0.8584850318062659,0.03849865213379197,5
XGBoost,5,0.8378962034134448,0.05037723891693171,7
