Fold,Model,best_C_used,n_selected_features,n_total_features,Accuracy,Precision,Recall,F1,ROC_AUC
1,LogisticRegression,0.3,3,22,0.7592592592592593,0.8918918918918919,0.7857142857142857,0.8354430379746836,0.75
1,LinearSVM,0.001,22,22,0.8703703703703703,0.8571428571428571,1.0,0.9230769230769231,0.7440476190476191
1,RandomForest,1.0,5,22,0.7592592592592593,0.8717948717948718,0.8095238095238095,0.8395061728395061,0.7242063492063492
1,XGBoost,1.0,5,22,0.7777777777777778,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7698412698412699
2,LogisticRegression,0.3,4,22,0.86,0.8205128205128205,1.0,0.9014084507042254,0.8628472222222223
2,LinearSVM,0.001,22,22,0.64,0.64,1.0,0.7804878048780488,0.8003472222222222
2,RandomForest,1.0,7,22,0.8,0.775,0.96875,0.8611111111111112,0.8732638888888888
2,XGBoost,1.0,7,22,0.8,0.7619047619047619,1.0,0.8648648648648649,0.8359375
3,LogisticRegression,0.3,3,22,0.875,0.875,1.0,0.9333333333333333,0.40476190476190477
3,LinearSVM,0.001,22,22,0.875,0.875,1.0,0.9333333333333333,0.5674603174603174
3,RandomForest,1.0,5,22,0.875,0.875,1.0,0.9333333333333333,0.6746031746031746
3,XGBoost,1.0,5,22,0.875,0.875,1.0,0.9333333333333333,0.8452380952380952
