Fold,Model,Accuracy,Precision,Recall,F1,ROC_AUC
1,LogisticRegression,0.7037037037037037,0.8421052631578947,0.7619047619047619,0.8,0.7063492063492063
1,LinearSVM,0.8703703703703703,0.8571428571428571,1.0,0.9230769230769231,0.7440476190476191
1,RandomForest,0.7407407407407407,0.85,0.8095238095238095,0.8292682926829268,0.7876984126984128
1,XGBoost,0.7962962962962963,0.8604651162790697,0.8809523809523809,0.8705882352941177,0.798611111111111
2,LogisticRegression,0.86,0.8205128205128205,1.0,0.9014084507042254,0.8541666666666667
2,LinearSVM,0.64,0.64,1.0,0.7804878048780488,0.8003472222222222
2,RandomForest,0.74,0.7111111111111111,1.0,0.8311688311688312,0.8454861111111112
2,XGBoost,0.74,0.7111111111111111,1.0,0.8311688311688312,0.7708333333333333
3,LogisticRegression,0.8333333333333334,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.32936507936507936
3,LinearSVM,0.875,0.875,1.0,0.9333333333333333,0.5674603174603174
3,RandomForest,0.875,0.875,1.0,0.9333333333333333,0.623015873015873
3,XGBoost,0.875,0.875,1.0,0.9333333333333333,0.6408730158730159
