,LogisticRegression,LinearSVM,RandomForest,XGBoost,Selected_By_Count
MDVP:Fo(Hz),1,1,1,1,4
spread1,1,1,1,1,4
D2,1,1,1,1,4
MDVP:APQ,0,1,1,1,3
NHR,0,1,1,1,3
MDVP:Jitter(%),0,1,1,1,3
HNR,0,1,1,1,3
PPE,0,1,1,1,3
MDVP:Flo(Hz),0,1,0,0,1
MDVP:Fhi(Hz),0,1,0,0,1
MDVP:RAP,0,1,0,0,1
MDVP:Jitter(Abs),0,1,0,0,1
MDVP:Shimmer,0,1,0,0,1
MDVP:PPQ,0,1,0,0,1
Shimmer:DDA,0,1,0,0,1
Shimmer:APQ5,0,1,0,0,1
Shimmer:APQ3,0,1,0,0,1
MDVP:Shimmer(dB),0,1,0,0,1
Jitter:DDP,0,1,0,0,1
RPDE,0,1,0,0,1
DFA,0,1,0,0,1
spread2,0,1,0,0,1
