,LogisticRegression,LinearSVM,RandomForest,XGBoost,Selected_By_Count
MDVP:Fo(Hz),1,1,1,1,4
MDVP:Flo(Hz),1,1,1,1,4
spread1,1,1,1,1,4
spread2,1,1,1,1,4
PPE,1,1,1,1,4
MDVP:Jitter(Abs),0,1,1,1,3
D2,0,1,1,1,3
MDVP:APQ,0,1,1,1,3
MDVP:Fhi(Hz),0,1,0,1,2
MDVP:Jitter(%),0,1,0,1,2
MDVP:RAP,0,1,0,1,2
MDVP:PPQ,0,1,0,1,2
MDVP:Shimmer,0,1,0,1,2
Jitter:DDP,0,1,0,1,2
Shimmer:DDA,0,1,0,1,2
Shimmer:APQ5,0,1,0,1,2
Shimmer:APQ3,0,1,0,1,2
MDVP:Shimmer(dB),0,1,0,1,2
DFA,0,1,0,1,2
RPDE,0,1,0,1,2
HNR,0,1,0,1,2
NHR,0,1,0,1,2
