mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__solver,param_mlp__learning_rate_init,param_mlp__hidden_layer_sizes,param_mlp__batch_size,param_mlp__alpha,param_mlp__activation,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.062097628911336265,0.011553281030146604,0.007735093434651692,0.004326721825424581,adam,0.002976351441631319,"(128,)",64,0.01623776739188721,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.002976351441631319), 'mlp__hidden_layer_sizes': (128,), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.01623776739188721), 'mlp__activation': 'tanh'}",0.7792207792207793,0.8857142857142857,0.8837209302325582,0.8495519983892077,0.04973833973108518,13
0.0846082369486491,0.005747734007779576,0.0013402303059895833,0.001895371875433912,adam,0.00379269019073225,"(64, 32, 16)",32,1.1288378916846883e-05,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00379269019073225), 'mlp__hidden_layer_sizes': (64, 32, 16), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(1.1288378916846883e-05), 'mlp__activation': 'tanh'}",0.7692307692307693,0.7,0.8148148148148148,0.7613485280151947,0.047203161759748195,95
0.19610214233398438,0.00869680563329219,0.0019998550415039062,0.0016273551391228684,adam,0.0001,"(32, 16)",16,1.8329807108324375e-06,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0001), 'mlp__hidden_layer_sizes': (32, 16), 'mlp__batch_size': 16, 'mlp__alpha': np.float64(1.8329807108324375e-06), 'mlp__activation': 'relu'}",0.7297297297297297,0.6181818181818182,0.8571428571428571,0.7350181350181351,0.09762707943395492,106
0.20128528277079263,0.048823105584400464,0.0055463314056396484,0.007843697095271423,adam,0.0011288378916846883,"(64, 32, 16)",16,0.00012742749857031334,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0011288378916846883), 'mlp__hidden_layer_sizes': (64, 32, 16), 'mlp__batch_size': 16, 'mlp__alpha': np.float64(0.00012742749857031334), 'mlp__activation': 'relu'}",0.676923076923077,0.8767123287671232,0.9333333333333333,0.8289895796745111,0.10998378815022591,35
0.056479692459106445,0.007182001333147326,0.004883368810017903,0.006906126401197082,adam,0.00379269019073225,"(128,)",32,0.0026366508987303583,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00379269019073225), 'mlp__hidden_layer_sizes': (128,), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(0.0026366508987303583), 'mlp__activation': 'tanh'}",0.7631578947368421,0.835820895522388,0.896551724137931,0.8318435047990538,0.054530377823107316,30
0.11912647883097331,0.027665258379868423,0.002198298772176107,0.0031088639377595726,adam,0.00026366508987303583,"(128,)",32,0.05455594781168514,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00026366508987303583), 'mlp__hidden_layer_sizes': (128,), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(0.05455594781168514), 'mlp__activation': 'relu'}",0.7692307692307693,0.6567164179104478,0.9090909090909091,0.7783460320773754,0.10323286609157382,87
0.09555570284525554,0.007144846161770604,0.004651069641113281,0.003842131807180004,adam,0.00026366508987303583,"(64, 32)",32,0.029763514416313194,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00026366508987303583), 'mlp__hidden_layer_sizes': (64, 32), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(0.029763514416313194), 'mlp__activation': 'relu'}",0.5901639344262295,0.631578947368421,0.7837837837837838,0.6685088885261448,0.08324672939219177,112
0.056316534678141274,0.01211388890149571,0.00853713353474935,0.007822230339186711,adam,0.007847599703514606,"(32,)",32,0.004832930238571752,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.007847599703514606), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(0.004832930238571752), 'mlp__activation': 'tanh'}",0.6086956521739131,0.835820895522388,0.8433734939759037,0.7626300138907349,0.10889169305239044,94
0.056119044621785484,0.014711490256361849,0.0026592413584391275,0.0020465293136067756,adam,0.0003359818286283781,"(32,)",64,0.00023357214690901214,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0003359818286283781), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.00023357214690901214), 'mlp__activation': 'relu'}",0.8387096774193549,0.7804878048780488,0.9534883720930233,0.8575619514634756,0.07187421995705043,9
0.08141628901163737,0.009313668539498882,0.0019926230112711587,0.0014090329098932074,adam,0.0011288378916846883,"(64,)",16,3.792690190732254e-05,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0011288378916846883), 'mlp__hidden_layer_sizes': (64,), 'mlp__batch_size': 16, 'mlp__alpha': np.float64(3.792690190732254e-05), 'mlp__activation': 'tanh'}",0.6153846153846154,0.835820895522388,0.8571428571428571,0.7694494560166202,0.1092875041684698,92
0.0930933952331543,0.003347376138898383,0.0020064512888590493,0.0014187994348153236,adam,0.00042813323987193956,"(64, 32, 16)",64,3.792690190732254e-05,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00042813323987193956), 'mlp__hidden_layer_sizes': (64, 32, 16), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(3.792690190732254e-05), 'mlp__activation': 'relu'}",0.6349206349206349,0.7297297297297297,0.9333333333333333,0.765994565994566,0.12449601976361485,93
